,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre,genre_1,genre_2
621,7.886,5.9,848,50000000,108660270,58660270,drama,fantasy,romance
622,26.185,7.0,2491,10000000,70133905,60133905,drama,horror,mystery
623,1.4,6.7,12,42000000,66787173,24787173,action,drama,thriller
624,7.14,7.0,335,7000000,382946,-6617054,comedy,crime,drama
626,14.751,8.0,4710,25000000,231771716,206771716,biography,drama,history
631,7.544,4.9,43,500000,528,-499472,action,sci-fi,thriller
634,14.082,5.6,1764,35000000,82182803,47182803,action,adventure,crime
636,8.844,5.9,300,3000000,834953,-2165047,action,comedy,horror
637,19.331,4.1,217,42000000,41926605,-73395,adventure,comedy,crime
642,3.843,6.3,33,1200000,2859955,1659955,drama,family,sport
645,14.738,5.6,611,63000000,188657593,125657593,adventure,animation,comedy
646,8.312999999999999,6.1,429,30000000,133085295,103085295,comedy,drama,romance
651,9.607000000000001,5.6,1000,35000000,45671512,10671512,action,comedy,crime
653,8.052999999999999,5.1,512,14000000,12826644,-1173356,comedy,mystery,sci-fi
654,14.585,5.9,471,15000000,12758799,-2241201,action,drama,sci-fi
655,15.318,6.9,5013,85000000,378505812,293505812,animation,comedy,family
656,16.553,6.7,3184,80000000,469500298,389500298,animation,comedy,family
657,26.815,6.8,1673,65000000,527079962,462079962,adventure,animation,comedy
659,8.72,5.8,1033,6900000,44103982,37203982,drama,horror,thriller
660,8.455,6.6,505,1500000,236863,-1263137,comedy,horror,mystery
662,10.270999999999999,6.1,2036,37000000,100003780,63003780,comedy,drama,romance
663,28.734,7.7,7610,165000000,494870992,329870992,action,adventure,animation
664,27.105999999999998,7.7,5589,145000000,614586270,469586270,action,adventure,animation
666,12.545,7.8,915,2500000,23845533,21345533,adventure,comedy,drama
669,11.555,6.0,2805,50000000,146195159,96195159,action,adventure,sci-fi
670,9.558,4.9,296,18000000,309608,-17690392,action,crime,drama
671,9.7,7.6,155,7000000,85604221,78604221,biography,drama,family
